report_month,project_code,original_cost,expenditure,expenditure_ratio,physical_progress,previous_progress,progress_change,progress_velocity,previous_expenditure,expenditure_change,expenditure_velocity,previous_observations,months_observed,days_since_first_report,has_physical_progress,has_expenditure,has_original_cost,state,sector,ministry_final,agency_final,start_date,original_doc,future_time_delay
2025-02-01,619104,1139.65,6.64,0.5826350195235378,99.0,,,,,,,0,1,0,1,1,1,"Multi-States (Jharkhand, West Bengal)",Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,619113,555.8,-0.08,-0.0143936667866138,100.0,,,,,,,0,1,0,1,1,1,Tamil Nadu,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,619121,2531.99,-5.15,-0.2033973277935537,99.0,,,,,,,0,1,0,1,1,1,Karnataka,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,619137,1024.69,542.11,52.90478095814344,100.0,,,,,,,0,1,0,1,1,1,Gujarat,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],01/2019,,1
2025-02-01,619144,1519.72,2.45,0.1612139078251256,100.0,,,,,,,0,1,0,1,1,1,Karnataka,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,619146,750.53,41.54,5.534755439489428,97.0,,,,,,,0,1,0,1,1,1,Gujarat,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2026-05-01,619146,750.53,363.41,48.42044954898539,97.93,97.0,0.9300000000000068,0.0020484581497797,41.54,321.87,0.7089647577092512,1,2,454,1,1,1,Gujarat,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],03/2017,,1
2025-02-01,701105,255.69,154.3,60.34651335601706,98.0,,,,,,,0,1,0,1,1,1,Goa,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],11/2017,,1
2025-07-01,701105,255.69,130.0,50.84281747428526,88.0,98.0,-10.0,-0.0666666666666666,154.3,-24.30000000000001,-0.1620000000000001,1,2,150,1,1,1,Goa,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],,,1
2025-11-01,701105,255.69,154.3,60.34651335601706,97.0,94.0,3.0,0.0967741935483871,154.3,0.0,0.0,4,5,273,1,1,1,Goa,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],,,1
2025-12-01,701105,255.69,154.3,60.34651335601706,98.0,97.0,1.0,0.0333333333333333,154.3,0.0,0.0,5,6,303,1,1,1,Goa,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],,,1
2025-02-01,701263,43129.0,64516.26,149.58904681304924,90.0,,,,,,,0,1,0,1,1,1,Rajasthan,Energy Storage,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,10/2017,,1
2025-07-01,701263,43129.0,59524.37,138.01472327204434,87.0,90.0,-3.0,-0.02,64516.26,-4991.889999999999,-33.279266666666665,1,2,150,1,1,1,"Multi-States (Arunachal Pradesh, Gujarat, Rajasthan)",Energy Storage,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,,,1
2025-11-01,701263,43129.0,62888.3,145.81441721347585,89.0,89.0,0.0,0.0,61926.61,961.6900000000024,31.022258064516205,4,5,273,1,1,1,"Multi-States (Arunachal Pradesh, Gujarat, Rajasthan)",Energy Storage,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,,,1
2025-12-01,701263,43129.0,63571.54,147.3985949129356,90.0,89.0,1.0,0.0333333333333333,62888.3,683.239999999998,22.7746666666666,5,6,303,1,1,1,Rajasthan,Energy Storage,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,,,1
