feature,importance
approval_date_02_2021_(10_2021),0
approval_date_02_2021_(10_2023),0
approval_date_02_2021_(11_2021),0
approval_date_02_2021_(12_2021),0
approval_date_02_2021_(12_2022),0
approval_date_02_2021_(12_2024),0
approval_date_02_2022_(01_2023),0
approval_date_02_2022_(01_2025),0
approval_date_02_2022_(02_2022),0
approval_date_02_2022_(02_2024),0
approval_date_02_2022_(03_2023),0
approval_date_02_2022_(04_2023),0
approval_date_02_2022_(05_2023),0
approval_date_02_2022_(06_2022),0
approval_date_02_2022_(06_2023),0
approval_date_02_2022_(07_2023),0
approval_date_02_2022_(09_2023),0
approval_date_02_2022_(11_2022),0
approval_date_02_2022_(12_2022),0
approval_date_02_2023_(01_2024),0
approval_date_02_2023_(02_2023),0
approval_date_02_2023_(02_2024),0
approval_date_02_2023_(03_2024),0
approval_date_02_2023_(07_2024),0
approval_date_02_2023_(11_2023),0
approval_date_02_2023_(12_2022),0
approval_date_02_2024_(01_2025),0
approval_date_02_2024_(02_2024),0
approval_date_02_2024_(03_2024),0
approval_date_02_2024_(03_2025),0
approval_date_02_2024_(04_2023),0
approval_date_02_2024_(08_2024),0
approval_date_02_2025,0
approval_date_02_2025_(02_2025),0
approval_date_02_2026,0
approval_date_03_1983,0
approval_date_03_1983_(05_1985),0
approval_date_03_1994,0
approval_date_03_1994_(03_2001),0
approval_date_03_1998,0
approval_date_03_1999,0
approval_date_03_2001,0
approval_date_03_2001_(02_2008),0
approval_date_03_2001_(10_2004),0
approval_date_03_2002,0
approval_date_03_2004,0
approval_date_03_2004_(12_2004),0
approval_date_03_2008,0
approval_date_03_2008_(05_2009),0
approval_date_03_2008_(07_2010),0
approval_date_03_2009,0
approval_date_03_2009_(04_2015),0
approval_date_03_2009_(09_2013),0
approval_date_03_2010,0
approval_date_03_2010_(03_2010),0
approval_date_03_2010_(03_2018),0
